### START LOGGING ###

######[01/10/2021, 14:17:36][admin@admin][notification] REQUEST: GET LIST FILE
[01/10/2021, 14:17:37][admin@admin][success] Get ListFile: Lấy danh sách File thành công!

######[01/10/2021, 14:32:05][admin@admin][notification] REQUEST: REMOVE FILE

######[01/10/2021, 14:32:05][admin@admin][notification] REQUEST: REMOVE FILE
[01/10/2021, 14:32:05][admin@admin][success] Remove File From Database: Xoá File thành công!
[01/10/2021, 14:32:06][admin@admin][success] Remove File From Database: Xoá File thành công!

######[01/10/2021, 14:33:15][admin@admin][notification] REQUEST: GET LIST FILE
[01/10/2021, 14:33:16][admin@admin][success] Get ListFile: Lấy danh sách File thành công!

######[01/10/2021, 14:49:44][admin@admin][notification] REQUEST: GET LIST FILE
[01/10/2021, 14:49:44][admin@admin][success] Get ListFile: Lấy danh sách File thành công!

######[01/10/2021, 14:52:14][admin@admin][notification] REQUEST: UPLOAD FILE
[01/10/2021, 14:53:23][admin@admin][success] Upload File: Upload và convert file thành công!

######[01/10/2021, 20:22:45][admin@admin][notification] REQUEST: GET LIST FILE
[01/10/2021, 20:22:46][admin@admin][success] Get ListFile: Lấy danh sách File thành công!

######[01/10/2021, 20:34:45][admin@admin][notification] REQUEST: REMOVE FILE

######[01/10/2021, 20:34:46][admin@admin][notification] REQUEST: REMOVE FILE
[01/10/2021, 20:34:46][admin@admin][success] Remove File From Database: Xoá File thành công!
[01/10/2021, 20:34:46][admin@admin][success] Remove File From Database: Xoá File thành công!

######[03/10/2021, 20:19:50][admin@admin][notification] REQUEST: GET LIST FILE
[03/10/2021, 20:19:50][admin@admin][success] Get ListFile: Lấy danh sách File thành công!

######[03/10/2021, 20:19:54][admin@admin][notification] REQUEST: GET LIST FILE
[03/10/2021, 20:19:54][admin@admin][success] Get ListFile: Lấy danh sách File thành công!

######[03/10/2021, 20:19:59][admin@admin][notification] REQUEST: GET LIST FILE
[03/10/2021, 20:19:59][admin@admin][success] Get ListFile: Lấy danh sách File thành công!

######[03/10/2021, 20:20:15][admin@admin][notification] REQUEST: GET LIST FILE
[03/10/2021, 20:20:16][admin@admin][success] Get ListFile: Lấy danh sách File thành công!

######[03/10/2021, 20:20:25][admin@admin][notification] REQUEST: GET LIST FILE
[03/10/2021, 20:20:26][admin@admin][success] Get ListFile: Lấy danh sách File thành công!

######[03/10/2021, 20:20:29][admin@admin][notification] REQUEST: GET LIST FILE
[03/10/2021, 20:20:29][admin@admin][success] Get ListFile: Lấy danh sách File thành công!

######[03/10/2021, 20:23:33][admin@admin][notification] REQUEST: GET LIST FILE
[03/10/2021, 20:23:34][admin@admin][success] Get ListFile: Lấy danh sách File thành công!

######[03/10/2021, 20:23:34][admin@admin][notification] REQUEST: GET LIST FILE
[03/10/2021, 20:23:35][admin@admin][success] Get ListFile: Lấy danh sách File thành công!

######[03/10/2021, 21:47:52][admin@admin][notification] REQUEST: UPLOAD FILE

######[03/10/2021, 21:48:04][admin@admin][notification] REQUEST: UPLOAD FILE
[03/10/2021, 21:49:05][admin@admin][success] Upload File: Upload và convert file thành công!

######[06/10/2021, 11:01:41][admin@admin][notification] REQUEST: GET LIST FILE
[06/10/2021, 11:01:41][admin@admin][success] Get ListFile: Lấy danh sách File thành công!

######[06/10/2021, 11:57:23][admin@admin][notification] REQUEST: UPLOAD FILE

######[06/10/2021, 11:59:04][admin@admin][notification] REQUEST: GET LIST FILE
[06/10/2021, 11:59:05][admin@admin][success] Get ListFile: Lấy danh sách File thành công!

######[06/10/2021, 14:55:13][admin@admin][notification] REQUEST: GET LIST FILE
[06/10/2021, 14:55:13][admin@admin][success] Get ListFile: Lấy danh sách File thành công!

######[06/10/2021, 14:57:39][admin@admin][notification] REQUEST: GET LIST FILE
[06/10/2021, 14:57:40][admin@admin][success] Get ListFile: Lấy danh sách File thành công!
