### START LOGGING ###

######[01/10/2021, 00:33:36][admin@admin][notification] REQUEST: GET LIST FILE
[01/10/2021, 00:33:37][admin@admin][success] Get ListFile: Lấy danh sách File thành công!

######[01/10/2021, 00:33:56][admin@admin][notification] REQUEST: GET LIST FILE
[01/10/2021, 00:33:57][admin@admin][success] Get ListFile: Lấy danh sách File thành công!

######[01/10/2021, 00:34:15][admin@admin][notification] REQUEST: GET LIST FILE
[01/10/2021, 00:34:16][admin@admin][success] Get ListFile: Lấy danh sách File thành công!

######[01/10/2021, 00:34:36][admin@admin][notification] REQUEST: GET LIST FILE
[01/10/2021, 00:34:36][admin@admin][success] Get ListFile: Lấy danh sách File thành công!

######[01/10/2021, 00:37:58][admin@admin][notification] REQUEST: GET LIST FILE
[01/10/2021, 00:37:58][admin@admin][success] Get ListFile: Lấy danh sách File thành công!

######[01/10/2021, 00:38:09][admin@admin][notification] REQUEST: UPLOAD FILE

######[01/10/2021, 00:38:39][admin@admin][notification] REQUEST: GET LIST FILE
[01/10/2021, 00:38:40][admin@admin][success] Get ListFile: Lấy danh sách File thành công!

######[01/10/2021, 00:39:05][admin@admin][notification] REQUEST: GET LIST FILE
[01/10/2021, 00:39:05][admin@admin][success] Get ListFile: Lấy danh sách File thành công!

######[01/10/2021, 00:39:11][admin@admin][notification] REQUEST: GET LIST FILE
[01/10/2021, 00:39:11][admin@admin][success] Get ListFile: Lấy danh sách File thành công!

######[01/10/2021, 00:41:54][admin@admin][notification] REQUEST: GET LIST FILE
[01/10/2021, 00:41:54][admin@admin][success] Get ListFile: Lấy danh sách File thành công!

######[01/10/2021, 00:41:59][admin@admin][notification] REQUEST: GET LIST FILE
[01/10/2021, 00:42:00][admin@admin][success] Get ListFile: Lấy danh sách File thành công!

######[01/10/2021, 14:16:04][admin@admin][notification] REQUEST: GET LIST FILE
[01/10/2021, 14:16:05][admin@admin][success] Get ListFile: Lấy danh sách File thành công!

######[01/10/2021, 14:16:16][admin@admin][notification] REQUEST: UPLOAD FILE
[01/10/2021, 14:17:36][admin@admin][success] Upload File: Upload và convert file thành công!

######[01/10/2021, 14:25:49][admin@admin][notification] REQUEST: GET LIST FILE
[01/10/2021, 14:25:50][admin@admin][success] Get ListFile: Lấy danh sách File thành công!

######[01/10/2021, 14:25:58][admin@admin][notification] REQUEST: GET LIST FILE
[01/10/2021, 14:25:59][admin@admin][success] Get ListFile: Lấy danh sách File thành công!

######[01/10/2021, 14:28:32][admin@admin][notification] REQUEST: GET LIST FILE
[01/10/2021, 14:28:33][admin@admin][success] Get ListFile: Lấy danh sách File thành công!

######[01/10/2021, 14:31:45][admin@admin][notification] REQUEST: GET LIST FILE
[01/10/2021, 14:31:45][admin@admin][success] Get ListFile: Lấy danh sách File thành công!

######[01/10/2021, 14:32:04][admin@admin][notification] REQUEST: REMOVE FILE
[01/10/2021, 14:32:05][admin@admin][success] Remove File From Database: Xoá File thành công!

######[01/10/2021, 14:32:06][admin@admin][notification] REQUEST: REMOVE FILE
[01/10/2021, 14:32:07][admin@admin][success] Remove File From Database: Xoá File thành công!

######[01/10/2021, 14:32:16][admin@admin][notification] REQUEST: UPLOAD FILE
[01/10/2021, 14:33:15][admin@admin][success] Upload File: Upload và convert file thành công!

######[01/10/2021, 14:41:11][admin@admin][notification] REQUEST: GET LIST FILE
[01/10/2021, 14:41:12][admin@admin][success] Get ListFile: Lấy danh sách File thành công!

######[01/10/2021, 14:42:24][admin@admin][notification] REQUEST: GET LIST FILE
[01/10/2021, 14:42:24][admin@admin][success] Get ListFile: Lấy danh sách File thành công!

######[01/10/2021, 14:47:16][admin@admin][notification] REQUEST: GET LIST FILE
[01/10/2021, 14:47:17][admin@admin][success] Get ListFile: Lấy danh sách File thành công!

######[01/10/2021, 14:48:15][admin@admin][notification] REQUEST: GET LIST FILE
[01/10/2021, 14:48:16][admin@admin][success] Get ListFile: Lấy danh sách File thành công!

######[01/10/2021, 14:53:23][admin@admin][notification] REQUEST: GET LIST FILE
[01/10/2021, 14:53:23][admin@admin][success] Get ListFile: Lấy danh sách File thành công!

######[01/10/2021, 15:11:36][admin@admin][notification] REQUEST: GET LIST FILE
[01/10/2021, 15:11:36][admin@admin][success] Get ListFile: Lấy danh sách File thành công!

######[01/10/2021, 20:22:40][admin@admin][notification] REQUEST: GET LIST FILE
[01/10/2021, 20:22:41][admin@admin][success] Get ListFile: Lấy danh sách File thành công!

######[01/10/2021, 20:22:44][admin@admin][notification] REQUEST: GET LIST FILE
[01/10/2021, 20:22:45][admin@admin][success] Get ListFile: Lấy danh sách File thành công!

######[01/10/2021, 20:26:05][admin@admin][notification] REQUEST: GET LIST FILE
[01/10/2021, 20:26:06][admin@admin][success] Get ListFile: Lấy danh sách File thành công!

######[01/10/2021, 20:26:49][admin@admin][notification] REQUEST: GET LIST FILE
[01/10/2021, 20:26:49][admin@admin][success] Get ListFile: Lấy danh sách File thành công!

######[01/10/2021, 20:28:44][admin@admin][notification] REQUEST: GET LIST FILE
[01/10/2021, 20:28:45][admin@admin][success] Get ListFile: Lấy danh sách File thành công!

######[01/10/2021, 20:30:55][admin@admin][notification] REQUEST: GET LIST FILE
[01/10/2021, 20:30:56][admin@admin][success] Get ListFile: Lấy danh sách File thành công!

######[01/10/2021, 20:32:20][admin@admin][notification] REQUEST: GET LIST FILE
[01/10/2021, 20:32:20][admin@admin][success] Get ListFile: Lấy danh sách File thành công!

